City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,leua,48.2156,18.6071,15.28,67,100,5.02,SK,2024-04-09 03:10:14
138,palikir - national government center,6.9248,158.1611,31.47,74,100,5.14,FM,2024-04-09 03:10:14
139,weyburn,49.6668,-103.8511,8.62,74,65,6.13,CA,2024-04-09 03:10:14
140,tynda,55.1667,124.7167,-5.11,84,100,1.47,RU,2024-04-09 03:10:14
141,hasaki,35.7333,140.8333,21.27,92,100,18.3,JP,2024-04-09 03:10:15
142,novyy urgal,51.0736,132.5642,2.74,42,41,1.05,RU,2024-04-09 03:10:15
143,ust-nera,64.5667,143.2,-6.2,84,100,2.66,RU,2024-04-09 03:10:15
144,susuman,62.7833,148.1667,-10.01,80,99,1.34,RU,2024-04-09 03:10:15
145,mantua,45.1667,10.7833,13.53,92,100,0.89,IT,2024-04-09 03:10:15
146,nicolet,46.2168,-72.6158,8.8,46,100,3.93,CA,2024-04-09 03:09:07
147,blackmans bay,-43.0167,147.3167,14.07,53,49,1.79,AU,2024-04-09 03:10:15
148,silopi,37.2497,42.4694,11.65,63,38,3.58,TR,2024-04-09 03:10:15
149,kayes,14.0,-11.0,31.92,18,0,4.71,ML,2024-04-09 03:10:15
150,greymouth,-42.4667,171.2,16.99,76,100,5.37,NZ,2024-04-09 03:07:50
151,east london,-33.0153,27.9116,19.42,86,57,3.07,ZA,2024-04-09 03:10:16
152,puerto baquerizo moreno,-0.9,-89.6,25.6,88,15,3.16,EC,2024-04-09 03:10:08
153,essaouira,31.5125,-9.77,16.93,79,2,14.89,MA,2024-04-09 03:10:16
154,laojunmiao,39.8333,97.7333,9.6,18,100,1.35,CN,2024-04-09 03:10:16
155,asahi,35.7167,140.65,21.26,92,100,14.4,JP,2024-04-09 03:10:16
156,anatuya,-28.4606,-62.8347,21.35,76,0,3.93,AR,2024-04-09 03:10:16
157,santo antonio,-6.3106,-35.4789,25.04,85,100,2.29,BR,2024-04-09 03:10:16
158,sao vicente,-23.9631,-46.3919,25.15,26,85,1.63,BR,2024-04-09 03:05:37
159,bagaha,27.1,84.0833,28.5,9,0,2.02,IN,2024-04-09 03:10:16
160,ribeira grande,38.5167,-28.7,17.1,97,85,7.15,PT,2024-04-09 03:10:17
161,fort bragg,35.139,-79.006,18.32,59,0,4.12,US,2024-04-09 03:05:56
162,carnarvon,-24.8667,113.6333,31.48,27,0,7.39,AU,2024-04-09 03:10:17
163,codrington,-38.2667,141.9667,14.37,53,98,7.13,AU,2024-04-09 03:10:17
164,nikol'sk,53.7189,46.0712,9.19,96,100,2.2,RU,2024-04-09 03:10:17
165,viedma,-40.8135,-62.9967,15.8,50,46,10.23,AR,2024-04-09 03:10:17
166,kuala tungkal,-0.8167,103.4667,28.24,83,99,1.92,ID,2024-04-09 03:10:17
167,piedmont,37.8244,-122.2316,17.51,67,20,4.12,US,2024-04-09 03:08:10
168,duong dong,10.2167,103.9667,33.0,58,20,2.06,VN,2024-04-09 03:10:18
169,mont-laurier,46.5501,-75.4993,8.41,74,100,0.75,CA,2024-04-09 03:10:18
170,nema,57.5067,50.5011,4.03,90,99,3.99,RU,2024-04-09 03:10:18
171,port saint john's,-31.6229,29.5448,20.2,86,61,2.45,ZA,2024-04-09 03:10:18
172,yeppoon,-23.1333,150.7333,29.88,47,7,3.37,AU,2024-04-09 03:10:18
173,mount gambier,-37.8333,140.7667,14.72,50,97,4.66,AU,2024-04-09 03:10:18
174,kalininsk,51.5,44.4758,10.5,86,100,2.92,RU,2024-04-09 03:10:18
175,kimbe,-5.5502,150.1429,28.12,81,100,0.65,PG,2024-04-09 03:10:18
176,tulua,4.0847,-76.1954,20.39,91,99,0.47,CO,2024-04-09 03:10:18
177,kill devil hills,36.0307,-75.676,14.99,71,0,5.66,US,2024-04-09 03:10:19
178,stanley,54.868,-1.6985,8.73,97,75,3.6,GB,2024-04-09 03:10:19
179,san luis jilotepeque,14.65,-89.7333,23.58,76,100,1.01,GT,2024-04-09 03:10:19
180,karratha,-20.7377,116.8463,26.94,48,96,11.2,AU,2024-04-09 03:10:19
181,punta arenas,-53.15,-70.9167,4.06,75,75,6.69,CL,2024-04-09 03:06:08
182,atamyrat,37.8357,65.2106,19.31,44,100,9.38,TM,2024-04-09 03:09:17
183,shingu,33.7333,135.9833,15.62,62,81,4.76,JP,2024-04-09 03:10:19
184,warrnambool,-38.3833,142.4833,14.79,54,75,7.26,AU,2024-04-09 03:06:41
185,minas novas,-17.2186,-42.5903,18.32,88,100,0.33,BR,2024-04-09 03:10:20
186,douz,33.4663,9.0203,20.89,23,100,4.03,TN,2024-04-09 03:09:05
187,saint-joseph,-21.3667,55.6167,22.21,79,69,1.88,RE,2024-04-09 03:10:20
188,nanao,37.05,136.9667,11.26,91,100,5.21,JP,2024-04-09 03:10:11
189,ancud,-41.8697,-73.8203,6.67,73,17,3.74,CL,2024-04-09 03:10:20
190,kashgar,39.4547,75.9797,14.88,27,72,1.08,CN,2024-04-09 03:10:20
191,tazovsky,67.4667,78.7,-18.18,94,37,4.76,RU,2024-04-09 03:10:20
192,prince rupert,54.3161,-130.3201,6.05,81,100,3.09,CA,2024-04-09 03:10:20
193,colonia,50.9333,6.95,17.76,69,0,3.09,DE,2024-04-09 03:10:21
194,kasoa,5.533,-0.4224,26.9,87,95,2.25,GH,2024-04-09 03:10:21
195,bizerte,37.2744,9.8739,16.95,58,91,5.42,TN,2024-04-09 03:10:21
196,puri,19.8,85.85,27.29,37,15,6.66,IN,2024-04-09 03:10:21
197,upington,-28.4478,21.2561,11.33,71,0,3.77,ZA,2024-04-09 03:10:21
198,iskateley,67.6803,53.1512,-19.23,100,100,2.12,RU,2024-04-09 03:10:21
199,ikalamavony,-21.15,46.5833,19.16,90,45,1.81,MG,2024-04-09 03:07:17
200,tolanaro,-25.0319,46.9987,21.86,94,100,3.27,MG,2024-04-09 03:10:22
201,saldanha,-33.0117,17.9442,14.71,84,8,8.74,ZA,2024-04-09 03:10:22
202,goshaingaon,26.4379,89.9788,30.18,33,100,3.1,IN,2024-04-09 03:10:22
203,massena,44.9281,-74.8919,8.73,75,0,1.54,US,2024-04-09 03:10:22
204,cooper's town,26.8667,-77.5167,20.97,65,95,9.18,BS,2024-04-09 03:10:22
205,siwa oasis,29.2041,25.5195,15.66,68,0,2.96,EG,2024-04-09 03:10:22
206,duba,27.3513,35.6901,21.88,53,0,3.59,SA,2024-04-09 03:09:16
207,estacion coahuila,32.1939,-115.0017,20.96,13,3,6.38,MX,2024-04-09 03:10:23
208,altinekin,38.3078,32.8686,8.31,85,70,3.01,TR,2024-04-09 03:10:23
209,howrah,22.5892,88.3103,29.0,51,40,3.6,IN,2024-04-09 03:10:23
210,ulety,51.3572,112.4849,9.12,29,43,5.23,RU,2024-04-09 03:10:23
211,wuhai,39.6647,106.8122,18.46,16,100,3.65,CN,2024-04-09 03:05:46
212,khovd,48.0056,91.6419,8.06,31,33,1.67,MN,2024-04-09 03:10:23
213,newman,37.3138,-121.0208,18.13,64,0,1.79,US,2024-04-09 03:10:23
214,lahij,13.1667,44.5833,23.96,83,67,2.33,YE,2024-04-09 03:10:24
215,thunder bay,48.4001,-89.3168,3.95,93,100,2.06,CA,2024-04-09 03:05:34
216,wailua homesteads,22.0669,-159.378,26.24,81,75,8.23,US,2024-04-09 03:10:24
217,igboho,8.8333,3.75,25.03,80,95,3.37,NG,2024-04-09 03:10:24
218,perth,-31.9333,115.8333,23.91,48,0,8.75,AU,2024-04-09 03:07:46
219,uturoa,-16.7333,-151.4333,28.87,79,92,5.22,PF,2024-04-09 03:10:24
220,st. john's,47.5649,-52.7093,-0.68,93,100,10.28,CA,2024-04-09 03:09:07
221,puente alto,-33.6167,-70.5833,21.66,41,0,0.77,CL,2024-04-09 03:10:24
222,tarko-sale,64.9225,77.785,-11.34,80,65,4.13,RU,2024-04-09 03:10:25
223,isangel,-19.55,169.2667,28.38,73,22,5.36,VU,2024-04-09 03:10:25
224,tamanrasset,22.785,5.5228,23.95,10,1,4.63,DZ,2024-04-09 03:10:25
225,hoopstad,-27.8327,25.9083,11.01,66,0,2.69,ZA,2024-04-09 03:10:25
226,phan thiet,10.9333,108.1,32.52,49,73,7.27,VN,2024-04-09 03:10:25
227,miyako,39.6367,141.9525,7.86,93,100,4.6,JP,2024-04-09 03:10:25
228,aktobe,50.2797,57.2072,8.05,81,0,6.0,KZ,2024-04-09 03:10:25
229,vernon,50.2581,-119.2691,10.2,68,100,1.57,CA,2024-04-09 03:10:25
230,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,2024-04-09 03:10:26
231,murzuq,25.9155,13.9184,17.84,15,1,3.59,LY,2024-04-09 03:10:26
232,colby,39.3958,-101.0524,8.33,50,0,5.14,US,2024-04-09 03:10:26
233,orkney,-26.9802,26.6727,13.8,74,45,2.21,ZA,2024-04-09 03:10:26
234,ulsteinvik,62.3432,5.8487,10.5,76,97,4.15,NO,2024-04-09 03:10:26
235,peterhead,57.5058,-1.7981,7.22,97,100,4.17,GB,2024-04-09 03:10:26
236,manismata,-2.4667,111.0333,29.96,69,91,1.82,ID,2024-04-09 03:10:26
237,lompoc,34.6391,-120.4579,13.9,86,0,6.17,US,2024-04-09 03:08:46
238,freeport,40.6576,-73.5832,14.54,81,0,1.54,US,2024-04-09 03:07:48
239,yola,9.2,12.4833,29.68,45,61,2.78,NG,2024-04-09 03:10:27
240,motueka,-41.1333,173.0167,19.5,60,72,4.28,NZ,2024-04-09 03:10:27
241,sao joao da barra,-21.6403,-41.0511,25.29,84,94,5.12,BR,2024-04-09 03:10:27
242,san andres,12.5847,-81.7006,29.01,79,20,6.17,CO,2024-04-09 03:10:27
243,gewane,10.1664,40.6453,25.45,70,31,0.74,ET,2024-04-09 03:10:27
244,zag,46.9441,99.165,4.3,59,100,0.32,MN,2024-04-09 03:10:27
245,alesund,62.4723,6.1549,10.51,66,99,4.63,NO,2024-04-09 03:10:27
246,okha,53.5739,142.9478,-0.97,84,87,4.92,RU,2024-04-09 03:05:42
247,san pablo huixtepec,16.8333,-96.7667,22.92,54,38,1.07,MX,2024-04-09 03:10:28
248,batyrevo,55.0675,47.6111,6.73,93,70,3.04,RU,2024-04-09 03:10:28
249,al jawf,29.5,38.75,16.04,51,0,5.4,SA,2024-04-09 03:10:28
250,songkhla,6.8333,100.6667,31.03,56,59,3.58,TH,2024-04-09 03:10:28
